aggregation,condition,n_trials,accuracy,hit_rate,fa_rate,dprime,criterion,who
avg,100_0,1000,0.784,0.9251497005988024,0.3582834331337325,1.8036407115521436,-0.5387694617052465,
avg,50_50,1000,0.637,0.8233532934131736,0.5499001996007984,0.8028108887331873,-0.52681464976351,
avg,80_20,1000,0.656,0.8512974051896207,0.5399201596806387,0.941781416308158,-0.5711232887954005,
best_individual,100_0,1000,0.874,0.8692614770459082,0.12275449101796407,2.284233783399038,0.019210013293337047,UR
best_individual,50_50,1000,0.704,0.9211576846307385,0.5139720558882236,1.377871781531949,-0.7239658039624751,AG
best_individual,80_20,1000,0.703,0.6397205588822356,0.2345309381237525,1.08171824490581,0.18314716304048997,KM
maj,100_0,1000,0.784,0.9251497005988024,0.3582834331337325,1.8036407115521436,-0.5387694617052465,
maj,50_50,1000,0.637,0.8233532934131736,0.5499001996007984,0.8028108887331873,-0.52681464976351,
maj,80_20,1000,0.656,0.8512974051896207,0.5399201596806387,0.941781416308158,-0.5711232887954005,
mwe,100_0,1000,0.705,0.9850299401197605,0.5758483033932136,1.9795980298652214,-1.1810826352901025,
mwe,50_50,1000,0.573,0.9451097804391217,0.7994011976047904,0.75969649858014,-1.2193325331751037,
mwe,80_20,1000,0.626,0.9391217564870259,0.687624750499002,1.0583140646072904,-1.0182858521254532,
wlc,100_0,1000,0.91,0.9291417165668663,0.11077844311377245,2.6918273407441005,-0.12351495870530704,
wlc,50_50,1000,0.798,0.7894211576846307,0.19461077844311378,1.665444338765252,0.028307764382503042,
wlc,80_20,1000,0.869,0.8972055888223552,0.16067864271457086,2.2574610255353713,-0.13705796222739647,
