condition,group_size,mean_acc,std_acc
100_0,1,0.6655760000000001,0.10790094277114447
100_0,3,0.715176,0.07046974523856298
100_0,5,0.740958,0.054125403968094454
100_0,7,0.759498,0.04070222768691358
100_0,11,0.782264,0.012798825096378783
100_0,12,0.784,0.0
50_50,1,0.57774,0.07592444562119484
50_50,3,0.6084080000000001,0.05804698476994099
50_50,5,0.6275,0.04802093314420369
50_50,7,0.6408440000000001,0.034065827822768395
50_50,11,0.65799,0.01569492150736169
50_50,12,0.637,0.0
80_20,1,0.5921960000000001,0.05445957468204372
80_20,3,0.6271380000000001,0.04380539671733524
80_20,5,0.6408440000000001,0.03360998253274918
80_20,7,0.6484160000000001,0.025163173778942498
80_20,11,0.6605420000000001,0.010110424192619701
80_20,12,0.656,0.0
